product_id,product_name,total_sold
TEC-AC-10003832,LogitechÂ P710e Mobile Speakerphone,75
OFF-PA-10001970,Xerox 1881,70
OFF-BI-10001524,GBC Premium Transparent Covers with Diagonal Lined Pattern,67
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",64
OFF-BI-10002026,Avery Arch Ring Binders,64
FUR-TA-10001095,Chromcraft Round Conference Tables,61
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,60
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",59
OFF-BI-10004728,Wilson Jones Turn Tabs Binder Tool for Ring Binders,59
TEC-AC-10003038,Kingston Digital DataTraveler 16GB USB 2.0,57
